d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
84,0.978625,0.9619,0.97875,0.945875,0.9809,0.9868,0.988375,0.9746,0.9872,0.9818,0.89545,0.991125,0.988075,0.988925,0.9575,0.9704
85,0.98135,0.96485,0.9816,0.95165,0.982,0.98765,0.989575,0.9771,0.98845,0.983525,0.896525,0.991175,0.989275,0.9902,0.959775,0.97215
86,0.98295,0.967875,0.984025,0.95605,0.983125,0.988675,0.99095,0.978975,0.98955,0.9851,0.897625,0.9914,0.990025,0.991325,0.961975,0.973925
87,0.984925,0.9707,0.98605,0.96055,0.9842,0.9896,0.992075,0.9812,0.9906,0.98645,0.899,0.99145,0.991075,0.992,0.964275,0.975225
88,0.98645,0.973225,0.987975,0.9644,0.985125,0.990475,0.993125,0.9831,0.9914,0.98775,0.900425,0.991725,0.99205,0.9928,0.96615,0.976975
89,0.988075,0.9758,0.989675,0.96865,0.986025,0.991275,0.99405,0.98505,0.9923,0.98925,0.90145,0.991925,0.992825,0.993475,0.968025,0.978525
90,0.989625,0.97755,0.9915,0.971525,0.986975,0.991975,0.995025,0.986425,0.992925,0.99045,0.90265,0.9922,0.9935,0.994,0.9696,0.979775
91,0.9906,0.979325,0.992825,0.974825,0.9877,0.9925,0.995725,0.987825,0.993675,0.9911,0.903775,0.9923,0.9939,0.9944,0.97165,0.980825
92,0.9916,0.9812,0.994,0.9777,0.9885,0.993075,0.9962,0.98955,0.994525,0.991975,0.90485,0.992575,0.99445,0.994975,0.972975,0.98185
93,0.9922,0.982875,0.99505,0.980225,0.989225,0.99365,0.9966,0.990975,0.995275,0.992775,0.905675,0.9927,0.995,0.995525,0.974575,0.983
94,0.993225,0.984375,0.995625,0.9824,0.9897,0.994,0.9973,0.9918,0.995775,0.9935,0.906775,0.993,0.995675,0.9959,0.97595,0.9841
95,0.9939,0.98585,0.99635,0.984875,0.990425,0.9947,0.997625,0.99285,0.996175,0.993975,0.90785,0.993075,0.996125,0.996325,0.97715,0.984925
96,0.994575,0.986975,0.99695,0.987,0.99105,0.9951,0.9979,0.99365,0.996675,0.994475,0.90895,0.99325,0.996525,0.996625,0.978175,0.985725
97,0.995275,0.988425,0.997425,0.988725,0.9916,0.99555,0.998275,0.99445,0.9969,0.99505,0.91,0.99335,0.9969,0.99705,0.979425,0.986675
98,0.995825,0.98935,0.997825,0.990075,0.99225,0.996,0.9985,0.995,0.997125,0.995625,0.9113,0.9934,0.99705,0.99735,0.9805,0.987275
99,0.9963,0.99045,0.99815,0.99125,0.992675,0.996325,0.998625,0.99545,0.997375,0.99595,0.9124,0.9936,0.99735,0.9975,0.981375,0.9881
